Name,Release_Year,Description,Minimum_Players,Maximum_Players,Minimum_Time,Maximum_Time,Age_Rating,Complexity_Score,BGG_Rating,Game_Categories,Game_Mechanics,BGG_Rank,Complexity_Category
Aeon's End: War Eternal,2017,War Eternal is a standalone game compatible with the deck building game Aeon's End.,1,4,40,80,14,2.9,8.25,"['card-game', 'fantasy', 'fighting', 'science-fiction']","['cooperative-game', 'deck-bag-and-pool-building', 'hand-management', 'open-drafting', 'variable-phase-order', 'variable-player-powers']",141,Medium
Rising Sun,2018,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",3,5,90,120,14,3.3,7.77,"['bluffing', 'fantasy', 'miniatures', 'mythology', 'negotiation', 'wargame']","['action-drafting', 'alliances', 'area-majority-influence', 'area-movement', 'auction-sealed-bid', 'betting-and-bluffing', 'closed-drafting', 'end-game-bonuses', 'follow', 'force-commitment', 'negotiation', 'set-collection', 'simultaneous-action-selection', 'take-that', 'variable-phase-order', 'variable-player-powers', 'variable-set-up']",142,Medium
Hansa Teutonica,2009,Build networks of merchants along the roads and market towns of the Hanseatic League.,2,5,45,90,12,3.1,7.74,['medieval'],"['action-points', 'area-majority-influence', 'end-game-bonuses', 'network-and-route-building', 'ownership', 'take-that', 'tech-trees-tech-tracks']",143,Medium
Vinhos: Deluxe Edition,2016,The strategic craft of fine winemaking.,1,4,90,180,12,4.0,8.08,"['economic', 'industry-manufacturing']","['area-majority-influence', 'variable-phase-order', 'worker-placement']",144,Medium
Arcs,2024,Guide your faction through a space opera.,2,4,60,120,14,3.4,8.18,"['science-fiction', 'wargame']","['action-points', 'area-majority-influence', 'area-movement', 'campaign-battle-card-driven', 'dice-rolling', 'die-icon-resolution', 'hand-management', 'negotiation', 'trick-taking', 'turn-order-claim-action', 'variable-player-powers']",145,Medium
Wonderland's War,2022,The looking glass has shattered and war has come to Wonderland!,2,5,45,125,13,3.0,8.07,['fantasy'],"['area-majority-influence', 'deck-bag-and-pool-building', 'dice-rolling', 'open-drafting', 'push-your-luck', 'rondel', 'variable-player-powers']",146,Medium
Clank! In! Space!: A Deck-Building Adventure,2017,Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.,2,4,45,90,12,2.6,7.78,['science-fiction'],"['deck-bag-and-pool-building', 'delayed-purchase', 'modular-board', 'open-drafting', 'player-elimination', 'point-to-point-movement', 'push-your-luck']",147,Medium
Forbidden Stars,2015,"Assemble your armies, devise your strategy, and wage war across the Herakon Cluster.",2,4,120,180,14,3.8,7.98,"['bluffing', 'fighting', 'miniatures', 'science-fiction', 'wargame']","['area-majority-influence', 'area-movement', 'card-play-conflict-resolution', 'deck-bag-and-pool-building', 'dice-rolling', 'hand-management', 'modular-board', 'order-counters', 'variable-player-powers']",148,Medium
Yokohama,2016,Claim your fame as the dominant merchant in Yokohama during the Meiji period.,2,4,70,110,14,3.3,7.81,['economic'],"['contracts', 'end-game-bonuses', 'grid-movement', 'modular-board', 'network-and-route-building', 'set-collection', 'variable-set-up', 'worker-placement', 'worker-placement-different-worker-types']",149,Medium
Iberia,2016,"Travel from Barcelona to Lisboa to cure malaria, typhus, yellow fever, and cholera.",2,5,25,65,8,2.6,7.88,"['medical', 'post-napoleonic', 'trains']","['action-points', 'cooperative-game', 'hand-management', 'network-and-route-building', 'point-to-point-movement', 'set-collection', 'solo-solitaire-game', 'trading', 'variable-player-powers']",150,Medium
Codenames,2015,Give your team clever one-word clues to help them spot their agents in the field.,2,8,5,35,14,1.3,7.54,"['card-game', 'deduction', 'party-game', 'spies-secret-agents', 'word-game']","['communication-limits', 'memory', 'push-your-luck', 'team-based-game']",151,Light
Just One,2018,"Give one-word clues so someone can guess one word, but duplicate clues are discarded.",3,7,20,60,8,1.0,7.6,"['party-game', 'word-game']","['communication-limits', 'cooperative-game', 'paper-and-pencil']",152,Light
Champions of Midgard,2015,"Gain glory by defending a Viking harbor town against trolls, draugr and other beasts.",2,4,60,90,10,2.6,7.72,"['adventure', 'dice', 'fantasy', 'fighting', 'medieval', 'mythology']","['dice-rolling', 'set-collection', 'variable-player-powers', 'worker-placement']",153,Medium
Roll for the Galaxy,2014,"Utilize your dice populace to develop technologies, settle worlds, and ship goods.",2,5,25,65,13,2.8,7.58,"['civilization', 'dice', 'economic', 'science-fiction', 'space-exploration']","['action-retrieval', 'contracts', 'deck-bag-and-pool-building', 'dice-rolling', 'follow', 'simultaneous-action-selection', 'variable-phase-order', 'variable-player-powers', 'worker-placement-with-dice-workers']",154,Medium
PARKS,2019,"Hike through National Parks tiles, collecting memories and admiring gorgeous scenery.",1,5,30,60,10,2.1,7.65,"['animals', 'economic', 'environmental', 'travel']","['contracts', 'end-game-bonuses', 'events', 'modular-board', 'solo-solitaire-game', 'track-movement', 'turn-order-claim-action', 'variable-set-up', 'worker-placement']",155,Medium
Rajas of the Ganges,2017,Manage your dice to build profitable markets and grand monuments in historic India.,2,4,45,75,12,2.9,7.73,"['dice', 'economic', 'renaissance', 'territory-building']","['connections', 'dice-rolling', 'race', 'tile-placement', 'track-movement', 'worker-placement', 'worker-placement-with-dice-workers']",156,Medium
Pandemic,2008,Your team of experts must prevent the world from succumbing to a viral pandemic.,2,4,25,65,8,2.4,7.53,['medical'],"['action-points', 'cooperative-game', 'hand-management', 'point-to-point-movement', 'set-collection', 'tags', 'variable-player-powers']",157,Medium
Wyrmspan,2024,Build a cavernous sanctuary for dragons of all shapes and sizes!,1,5,70,110,14,2.8,8.04,"['animals', 'card-game', 'fantasy']","['end-game-bonuses', 'hand-management', 'once-per-game-abilities', 'open-drafting', 'solo-solitaire-game', 'track-movement', 'turn-order-progressive']",158,Medium
Targi,2012,Outwit your rival by selecting where to place nomad workers on a dynamic desert grid.,2,2,40,80,12,2.3,7.6,"['arabian', 'card-game']","['end-game-bonuses', 'modular-board', 'open-drafting', 'set-collection', 'square-grid', 'turn-order-progressive', 'worker-placement']",159,Medium
Hadrian's Wall,2021,Compete as one of six Roman Generals in charge of a milecastle along Hadrian's Wall.,1,6,30,60,12,3.2,7.93,"['ancient', 'city-building']","['hand-management', 'paper-and-pencil', 'solo-solitaire-game', 'tech-trees-tech-tracks']",160,Medium
The Isle of Cats,2019,Rescue as many cats as you can before Lord Vesh comes to destroy their home.,1,4,60,90,8,2.4,7.67,"['animals', 'fantasy', 'nautical', 'puzzle']","['closed-drafting', 'grid-coverage', 'hidden-victory-points', 'income', 'open-drafting', 'pattern-building', 'set-collection', 'solo-solitaire-game', 'square-grid', 'tile-placement', 'turn-order-stat-based']",161,Medium
Cartographers,2019,Explore lands on behalf of the queen and draw the most proficient maps to earn favor.,1,100,30,45,10,1.9,7.58,"['fantasy', 'territory-building']","['bingo', 'end-game-bonuses', 'grid-coverage', 'paper-and-pencil', 'simultaneous-action-selection', 'solo-solitaire-game', 'square-grid', 'variable-set-up']",162,Light
Res Arcana,2019,"Rival mages create artifacts, vying for places of power and ancient monuments.",2,4,30,60,12,2.6,7.64,"['card-game', 'fantasy']","['hand-management', 'income', 'open-drafting', 'race', 'score-and-reset-game', 'take-that', 'turn-order-pass-order', 'variable-player-powers']",163,Medium
Star Realms,2014,Compete head-to-head to create the most powerful deck of spaceships and bases.,2,2,5,40,12,1.9,7.56,"['card-game', 'fighting', 'science-fiction']","['deck-bag-and-pool-building', 'delayed-purchase', 'hand-management', 'income', 'open-drafting', 'tags', 'take-that', 'variable-set-up']",164,Light
Tyrants of the Underdark,2016,Lead a Drow house and build the best deck to establish supremacy over the Underdark.,2,4,40,80,14,2.6,7.91,"['fantasy', 'fighting']","['area-majority-influence', 'connections', 'deck-bag-and-pool-building', 'delayed-purchase', 'take-that', 'variable-set-up', 'zone-of-control']",165,Medium
Watergate,2019,Will Nixon triumph in his tug of war with the Press or will the truth be exposed?,2,2,30,60,12,2.3,7.75,"['card-game', 'political']","['action-event', 'campaign-battle-card-driven', 'connections', 'hand-management', 'once-per-game-abilities', 'take-that', 'tug-of-war']",166,Medium
Alchemists,2014,Showcase your alchemical know-how by publishing theories in this app-driven game.,2,4,100,140,13,3.9,7.64,"['deduction', 'fantasy', 'puzzle']","['action-drafting', 'action-queue', 'constrained-bidding', 'deduction', 'end-game-bonuses', 'events', 'hand-management', 'open-drafting', 'turn-order-progressive', 'worker-placement']",167,Medium
Magic: The Gathering,1993,Cast spells and summon fantasy monsters in the original collectible card game.,2,2,5,40,13,3.3,7.59,"['card-game', 'collectible-components', 'fantasy', 'fighting']","['betting-and-bluffing', 'closed-drafting', 'deck-construction', 'hand-management', 'income', 'interrupts', 'player-elimination', 'tags', 'take-that']",168,Medium
It's a Wonderful World,2019,"Draft yourself the ‘perfect' dystopia, complete projects and churn out resources.",1,5,25,65,14,2.3,7.66,"['card-game', 'civilization', 'economic', 'science-fiction']","['closed-drafting', 'end-game-bonuses', 'hand-management', 'income', 'set-collection', 'simultaneous-action-selection', 'solo-solitaire-game', 'variable-player-powers']",169,Medium
Ticket to Ride: Europe,2005,Build train routes across Europe in this sequel to the hit family board game.,2,5,30,60,8,1.9,7.53,['trains'],"['connections', 'contracts', 'end-game-bonuses', 'hand-management', 'network-and-route-building', 'open-drafting', 'push-your-luck', 'set-collection']",170,Light
Undaunted: Normandy,2019,Command your rifle platoon to victory in this WWII multi-scenario deck builder.,2,2,45,60,14,2.3,7.79,"['wargame', 'world-war-ii']","['deck-bag-and-pool-building', 'dice-rolling', 'hand-management', 'modular-board', 'open-drafting', 'simulation']",171,Medium
Too Many Bones: Undertow,2018,Songstress Stanza & stealthy Duster board a raft & chuck gobs of dice on the Sibron.,1,2,60,180,12,4.0,8.68,"['adventure', 'dice', 'fantasy', 'fighting']","['cooperative-game', 'deck-bag-and-pool-building', 'dice-rolling', 'die-icon-resolution', 'minimap-resolution', 'role-playing', 'solo-solitaire-game', 'stat-check-resolution', 'tech-trees-tech-tracks', 'turn-order-role-order', 'variable-player-powers']",172,Medium
The Lord of the Rings: The Card Game,2011,Guide your fellowship as it embarks on unique adventures in Tolkien's Middle-earth!,1,2,30,60,13,3.2,7.66,"['adventure', 'card-game', 'collectible-components', 'fantasy', 'novel-based']","['cooperative-game', 'deck-construction', 'events', 'hand-management', 'player-elimination', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'variable-set-up']",173,Medium
Praga Caput Regni,2020,Wealthy citizens of medieval Prague organize building projects to gain king's favor.,1,4,45,150,14,3.7,7.88,"['city-building', 'medieval', 'puzzle']","['area-majority-influence', 'enclosure', 'end-game-bonuses', 'hexagon-grid', 'income', 'three-dimensional-movement', 'tile-placement', 'track-movement', 'variable-set-up']",174,Medium
Stone Age,2008,Prehistoric tribes struggle to survive and adapt. Which one will rise to the top?,2,4,60,90,10,2.5,7.52,"['dice', 'economic', 'prehistoric']","['contracts', 'dice-rolling', 'end-game-bonuses', 'set-collection', 'turn-order-progressive', 'worker-placement']",175,Medium
Nucleum,2023,Become the leader of the industrial revolution in an alternate timeline.,1,4,60,150,14,4.2,8.16,"['economic', 'industry-manufacturing', 'science-fiction']","['action-retrieval', 'contracts', 'end-game-bonuses', 'hand-management', 'income', 'market', 'network-and-route-building', 'solo-solitaire-game', 'tech-trees-tech-tracks', 'variable-player-powers']",176,Heavy
ISS Vanguard,2022,"Crew the first interstellar ship in outer space, exploring and discovering...",1,4,90,120,13,3.7,8.5,"['adventure', 'exploration', 'miniatures', 'science-fiction', 'space-exploration']","['cooperative-game', 'dice-rolling', 'narrative-choice-paragraph', 'open-drafting', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'storytelling', 'variable-player-powers']",177,Medium
Kemet,2012,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,2,5,90,120,13,3.0,7.64,"['ancient', 'fantasy', 'miniatures', 'mythology', 'wargame']","['action-points', 'area-majority-influence', 'area-movement', 'card-play-conflict-resolution', 'hand-management', 'open-drafting', 'tech-trees-tech-tracks']",178,Medium
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,The game is afoot as you and your irregular friends search Victorian London for clues,1,8,60,120,13,2.7,7.62,"['deduction', 'murder-mystery', 'novel-based', 'post-napoleonic', 'spies-secret-agents']","['cooperative-game', 'deduction', 'narrative-choice-paragraph', 'solo-solitaire-game', 'storytelling']",179,Medium
Endeavor: Age of Sail,2018,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",2,5,60,90,13,2.8,7.87,"['exploration', 'nautical', 'renaissance']","['area-majority-influence', 'open-drafting', 'point-to-point-movement', 'set-collection', 'tech-trees-tech-tracks']",180,Medium
Terraforming Mars: Ares Expedition,2021,"Return to Mars and terraform it once again, this time using only cards.",1,4,45,60,14,2.9,7.66,"['card-game', 'science-fiction', 'space-exploration']","['end-game-bonuses', 'follow', 'hand-management', 'income', 'set-collection', 'simultaneous-action-selection', 'solo-solitaire-game', 'tags', 'tech-trees-tech-tracks', 'variable-phase-order', 'variable-player-powers', 'variable-set-up']",181,Medium
War Chest,2018,"Recruit, bolster and maneuver your way to controlling the hex-grid battlefield.",2,4,10,50,14,2.3,7.84,"['abstract-strategy', 'medieval', 'wargame']","['area-majority-influence', 'deck-bag-and-pool-building', 'delayed-purchase', 'grid-movement', 'hand-management', 'hexagon-grid', 'team-based-game', 'turn-order-claim-action', 'variable-player-powers']",182,Medium
Viscounts of the West Kingdom,2020,Travel the Kingdom seeking upgrades in an attempt to bring poverty or prosperity.,1,4,60,90,12,3.5,7.82,['medieval'],"['area-majority-influence', 'deck-bag-and-pool-building', 'end-game-bonuses', 'hand-management', 'king-of-the-hill', 'modular-board', 'rondel', 'set-collection', 'solo-solitaire-game', 'variable-player-powers']",183,Medium
Istanbul,2014,Send your assistants through the shops of Istanbul as you race to acquire rubies.,2,5,40,60,10,2.6,7.54,['economic'],"['contracts', 'dice-rolling', 'grid-movement', 'modular-board', 'network-and-route-building', 'pick-up-and-deliver', 'race', 'variable-set-up', 'worker-placement']",184,Medium
Legendary Encounters: An Alien Deck Building Game,2014,"In space, no one can hear you build a deck of marine & weapon cards to fight aliens.",1,5,30,60,17,2.7,7.75,"['card-game', 'fighting', 'horror', 'movies-tv-radio-theme', 'science-fiction']","['cooperative-game', 'deck-bag-and-pool-building', 'delayed-purchase', 'events', 'hidden-roles', 'open-drafting', 'player-elimination', 'solo-solitaire-game', 'team-based-game', 'traitor-game', 'variable-player-powers']",185,Medium
Dominion (Second Edition),2016,Acquire cards to grow your kingdom's influence in this classic deck-building game.,2,4,10,50,14,2.2,7.83,"['card-game', 'medieval']","['deck-bag-and-pool-building', 'delayed-purchase', 'hand-management', 'open-drafting', 'take-that', 'variable-set-up']",186,Medium
Glen More II: Chronicles,2019,"Expand your Scottish clan by trading livestock, making whisky and gaining landmarks.",2,4,90,120,12,3.0,7.89,"['city-building', 'economic', 'farming', 'territory-building']","['commodity-speculation', 'grid-movement', 'market', 'set-collection', 'tile-placement', 'turn-order-time-track']",187,Medium
Star Wars: X-Wing Miniatures Game,2012,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,2,2,30,45,14,2.5,7.63,"['aviation-flight', 'bluffing', 'collectible-components', 'miniatures', 'movies-tv-radio-theme', 'science-fiction', 'wargame']","['action-queue', 'critical-hits-and-failures', 'dice-rolling', 'line-of-sight', 'movement-template', 'player-elimination', 'simulation', 'simultaneous-action-selection', 'variable-player-powers']",188,Medium
Marco Polo II: In the Service of the Khan,2019,"Travel to cities along the silk road, trading silk, spice, gold & jade along the way.",2,4,60,120,12,3.4,7.94,"['dice', 'economic', 'medieval', 'travel']","['contracts', 'dice-rolling', 'point-to-point-movement', 'resource-to-move', 'variable-player-powers', 'worker-placement', 'worker-placement-with-dice-workers']",189,Medium
Unmatched: Cobble & Fog,2020,Heroes from Victorian-era literature join a skirmish to the death.,2,4,20,40,9,2.0,7.96,"['card-game', 'fantasy', 'fighting', 'horror', 'novel-based']","['action-points', 'campaign-battle-card-driven', 'card-play-conflict-resolution', 'hand-management', 'player-elimination', 'point-to-point-movement', 'team-based-game', 'variable-player-powers']",190,Light
That's Pretty Clever!,2018,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",1,4,10,50,8,1.9,7.56,"['dice', 'number']","['dice-rolling', 'highest-lowest-scoring', 'paper-and-pencil', 're-rolling-and-locking', 'solo-solitaire-game']",191,Light
Radlands,2021,Post-apocalyptic bands of punks fight to destroy the rival tribe's camps.,2,2,20,40,14,2.3,7.8,"['card-game', 'fighting', 'science-fiction']","['action-points', 'action-queue', 'hand-management', 'take-that', 'variable-player-powers']",192,Medium
Xia: Legends of a Drift System,2014,Pilot your ship to stardom in a massive sci-fi sandbox.,3,5,60,180,12,3.2,7.85,"['adventure', 'exploration', 'fighting', 'science-fiction', 'space-exploration', 'transportation']","['action-points', 'dice-rolling', 'grid-movement', 'map-addition', 'modular-board', 'pick-up-and-deliver', 'race', 'roll-spin-and-move', 'tile-placement', 'variable-player-powers']",193,Medium
Jaipur,2009,Trade and sell goods to become the most wealthy merchant in this short game for two.,2,2,10,50,10,1.5,7.49,"['card-game', 'economic']","['hand-management', 'hidden-victory-points', 'market', 'open-drafting', 'score-and-reset-game', 'set-collection']",194,Light
Welcome To...,2018,"Design the most appealing 1950s neighborhood, with fences, parks, and swimming pools.",1,100,5,45,10,1.8,7.52,['city-building'],"['bingo', 'contracts', 'paper-and-pencil', 'pattern-building', 'simultaneous-action-selection', 'solo-solitaire-game']",195,Light
Planet Unknown,2022,Develop and colonize your planet with oddly shaped tiles served on a rotating tray.,1,6,60,80,10,2.2,7.79,"['city-building', 'industry-manufacturing', 'puzzle', 'science-fiction', 'space-exploration', 'territory-building']","['events', 'grid-coverage', 'hidden-victory-points', 'map-addition', 'network-and-route-building', 'open-drafting', 'pattern-building', 'rondel', 'simultaneous-action-selection', 'square-grid', 'sudden-death-ending', 'tags', 'tech-trees-tech-tracks', 'tile-placement', 'turn-order-progressive', 'variable-player-powers']",196,Medium
Dune,2019,Wildly different factions vie for control of Arrakis through alliance and treachery.,2,6,120,180,14,4.0,7.94,"['bluffing', 'fighting', 'negotiation', 'novel-based', 'political', 'science-fiction', 'wargame']","['alliances', 'area-majority-influence', 'area-movement', 'auction-bidding', 'bribery', 'card-play-conflict-resolution', 'force-commitment', 'map-deformation', 'negotiation', 'predictive-bid', 'roles-with-asymmetric-information', 'take-that', 'variable-player-powers']",197,Medium
War of the Ring,2004,"Rings, Fellowship, diplomacy and war in the Third Age of Middle Earth.",2,4,100,140,12,3.8,7.78,"['adventure', 'fantasy', 'fighting', 'novel-based', 'territory-building', 'wargame']","['action-points', 'area-majority-influence', 'area-movement', 'campaign-battle-card-driven', 'dice-rolling', 'events', 'hand-management']",198,Medium
Chaos in the Old World,2009,Rival chaos gods send forth their minions to spread corruption and destruction.,3,4,60,120,13,3.2,7.66,"['fantasy', 'fighting', 'horror', 'mythology', 'wargame']","['action-points', 'area-majority-influence', 'area-movement', 'dice-rolling', 'events', 'hand-management', 'role-playing', 'take-that', 'variable-player-powers']",199,Medium
Earth,2023,"Strategically grow your ecosystem card engine with unique flora, fauna, and terrains.",1,5,45,90,13,2.9,7.65,"['animals', 'card-game', 'environmental']","['contracts', 'end-game-bonuses', 'follow', 'hand-management', 'pattern-building', 'solo-solitaire-game', 'tags', 'team-based-game', 'tile-placement', 'variable-set-up', 'victory-points-as-a-resource']",200,Medium
Welcome to the Moon,2021,Escape from Earth and plan the humankind journey to the moon to save humanity.,1,6,25,30,10,2.5,7.93,"['city-building', 'science-fiction']","['bingo', 'narrative-choice-paragraph', 'paper-and-pencil', 'pattern-building', 'race', 'scenario-mission-campaign-game', 'simultaneous-action-selection', 'solo-solitaire-game']",201,Medium
This War of Mine: The Board Game,2017,Civilians trapped in a war-torn city must make difficult decisions to survive.,1,6,45,120,18,3.3,7.77,"['adventure', 'exploration', 'mature-adult', 'modern-warfare', 'video-game-theme']","['action-points', 'cooperative-game', 'dice-rolling', 'events', 'grid-movement', 'narrative-choice-paragraph', 'push-your-luck', 'role-playing', 'scenario-mission-campaign-game', 'simulation', 'solo-solitaire-game', 'storytelling', 'variable-player-powers', 'worker-placement']",202,Medium
Star Wars: Outer Rim,2019,Star Wars characters race across the galaxy trying to achieve the most fame!,1,4,120,180,14,2.6,7.74,"['adventure', 'exploration', 'movies-tv-radio-theme', 'science-fiction', 'space-exploration']","['dice-rolling', 'die-icon-resolution', 'modular-board', 'pick-up-and-deliver', 'race', 'solo-solitaire-game', 'trading', 'variable-player-powers']",203,Medium
Memoir '44,2004,Revisit the battles of D-Day and control the forces of the Allies and the Axis!,2,8,30,60,8,2.3,7.53,"['miniatures', 'wargame', 'world-war-ii']","['area-majority-influence', 'campaign-battle-card-driven', 'command-cards', 'dice-rolling', 'die-icon-resolution', 'grid-movement', 'hand-management', 'hexagon-grid', 'line-of-sight', 'modular-board', 'movement-points', 'scenario-mission-campaign-game', 'simulation', 'team-based-game', 'variable-set-up']",204,Medium
Descent: Journeys in the Dark (Second Edition),2012,Fight the Overlord and level up your heroes in this fantasy dungeon campaign.,1,5,100,140,14,3.2,7.61,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['action-points', 'cooperative-game', 'dice-rolling', 'grid-movement', 'hand-management', 'line-of-sight', 'map-addition', 'modular-board', 'movement-points', 'multiple-maps', 'once-per-game-abilities', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'stat-check-resolution', 'team-based-game', 'variable-player-powers']",205,Medium
The Red Cathedral,2020,Lead a construction team to build Saint Basil's Cathedral under the Tsar's reign.,1,4,60,100,10,2.8,7.69,"['dice', 'economic']","['area-majority-influence', 'contracts', 'dice-rolling', 'end-game-bonuses', 'rondel', 'solo-solitaire-game', 'victory-points-as-a-resource']",206,Medium
Meadow,2021,Start your journey into nature and collect cards to become a true nature observer.,1,4,60,90,10,2.2,7.73,"['animals', 'card-game', 'environmental']","['hand-management', 'layering', 'open-drafting', 'set-collection', 'solo-solitaire-game', 'worker-placement-different-worker-types']",207,Medium
Great Western Trail: Argentina,2022,Travel the beautiful plains of the Pampas with your cattle.,1,4,75,150,12,3.9,8.29,"['animals', 'economic']","['deck-bag-and-pool-building', 'hand-management', 'ownership', 'set-collection', 'solo-solitaire-game', 'track-movement', 'variable-set-up']",208,Medium
Cosmic Encounter,2008,Conquer the galaxy with shifting alliances and the unique powers of your alien race.,3,5,60,120,12,2.6,7.52,"['bluffing', 'negotiation', 'science-fiction', 'space-exploration']","['alliances', 'card-play-conflict-resolution', 'hand-management', 'interrupts', 'negotiation', 'prisoners-dilemma', 'race', 'simultaneous-action-selection', 'take-that', 'trading', 'variable-player-powers']",209,Medium
Sekigahara: The Unification of Japan,2011,Defend or depose the Toyotomi heir by commanding the loyalty of the feudal lords.,2,2,160,200,14,2.8,8.0,"['civil-war', 'pike-and-shot', 'wargame']","['action-points', 'card-play-conflict-resolution', 'force-commitment', 'hand-management', 'point-to-point-movement', 'secret-unit-deployment', 'turn-order-auction', 'variable-set-up']",210,Medium
Sagrada,2017,Craft the best stained-glass windows by carefully placing colorful transparent dice.,1,4,30,45,14,1.9,7.47,"['dice', 'puzzle']","['contracts', 'dice-rolling', 'end-game-bonuses', 'grid-coverage', 'open-drafting', 'pattern-building', 'set-collection', 'solo-solitaire-game', 'turn-order-progressive', 'variable-set-up']",211,Light
Castles of Mad King Ludwig,2014,Choose and play tiles to satisfy the king's whims and build the best fantasy castle.,1,4,70,110,13,2.6,7.51,"['post-napoleonic', 'puzzle']","['end-game-bonuses', 'hidden-victory-points', 'i-cut-you-choose', 'increase-value-of-unchosen-resources', 'pattern-building', 'set-collection', 'tile-placement', 'turn-order-progressive']",212,Medium
Horrified,2019,Classic movie monsters terrorize a town! Can your team stop them in time?,1,5,40,80,10,2.0,7.63,"['horror', 'miniatures', 'movies-tv-radio-theme']","['action-points', 'cooperative-game', 'dice-rolling', 'pick-up-and-deliver', 'point-to-point-movement', 'solo-solitaire-game', 'variable-player-powers', 'variable-set-up']",213,Light
The Resistance: Avalon,2012,Who can you trust? A game of social deduction set in King Arthur's legendary realm.,5,10,10,50,13,1.7,7.51,"['bluffing', 'card-game', 'deduction', 'fantasy', 'medieval', 'negotiation', 'party-game', 'spies-secret-agents']","['finale-ending', 'hidden-roles', 'roles-with-asymmetric-information', 'simultaneous-action-selection', 'team-based-game', 'traitor-game', 'variable-player-powers', 'voting']",214,Light
Space Base,2018,Amass spaceships for your fleet as you roll your way to domination.,2,5,40,80,14,2.1,7.54,"['dice', 'science-fiction', 'space-exploration']","['dice-rolling', 'open-drafting', 'random-production']",215,Medium
Railways of the World,2005,"Build rails, race to deliver scarce goods, and fulfill your Rail Baron's secret goal.",2,6,100,140,10,3.0,7.67,"['trains', 'transportation', 'video-game-theme']","['action-points', 'connections', 'end-game-bonuses', 'hexagon-grid', 'income', 'loans', 'network-and-route-building', 'open-drafting', 'ownership', 'pick-up-and-deliver', 'tile-placement', 'turn-order-auction']",216,Medium
Azul: Summer Pavilion,2019,You're an artisan working on creating striking patterns within a king's palace.,2,4,30,45,8,2.1,7.59,"['abstract-strategy', 'puzzle']","['end-game-bonuses', 'open-drafting', 'pattern-building', 'set-collection', 'tile-placement', 'turn-order-claim-action']",217,Medium
Modern Art,1992,Four types of auctions challenge players in this classic game of art speculation.,3,5,25,65,10,2.3,7.51,"['card-game', 'economic']","['auction-bidding', 'auction-english', 'auction-once-around', 'auction-sealed-bid', 'auction-turn-order-until-pass', 'commodity-speculation', 'hand-management', 'victory-points-as-a-resource']",218,Medium
Ticket to Ride: Nordic Countries,2007,"Build railways to connect destinations across Scandinavia, Finland, and Estonia.",2,3,30,60,8,2.0,7.63,['trains'],"['hand-management', 'network-and-route-building', 'open-drafting', 'push-your-luck', 'set-collection']",219,Light
Paleo,2020,"Your Stone Age tribe must work together to eat, survive, and develop new tech.",2,4,45,60,10,2.6,7.68,"['card-game', 'exploration', 'prehistoric']","['action-event', 'cooperative-game', 'memory', 'scenario-mission-campaign-game', 'simultaneous-action-selection', 'variable-set-up']",220,Medium
7 Wonders (Second Edition),2020,Draft cards to develop your ancient civilization and build its Wonder of the World.,3,7,10,50,10,2.3,7.84,"['ancient', 'card-game', 'city-building', 'civilization', 'economic']","['closed-drafting', 'hand-management', 'neighbor-scope', 'set-collection', 'simultaneous-action-selection', 'variable-player-powers']",221,Medium
Ora et Labora,2011,Manage workers and resources to build up the land around your medieval monastery.,1,4,60,180,13,3.9,7.68,"['city-building', 'economic', 'industry-manufacturing', 'medieval', 'religious', 'territory-building']","['increase-value-of-unchosen-resources', 'modular-board', 'network-and-route-building', 'worker-placement', 'worker-placement-different-worker-types']",222,Medium
Arkham Horror: The Card Game (Revised Edition),2021,Revised core set repackages the original with support for 1-4p.,1,4,45,180,14,3.8,8.63,"['adventure', 'card-game', 'collectible-components', 'exploration', 'fantasy', 'horror', 'novel-based']","['action-points', 'area-movement', 'communication-limits', 'cooperative-game', 'deck-construction', 'deck-bag-and-pool-building', 'events', 'hand-management', 'map-deformation', 'modular-board', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'stat-check-resolution', 'variable-player-powers']",223,Medium
A Game of Thrones: The Board Game (Second Edition),2011,Make alliances—and break them!—as you strive to both unite and conquer Westeros.,3,6,120,240,14,3.7,7.53,"['bluffing', 'fantasy', 'negotiation', 'novel-based', 'political', 'wargame']","['advantage-token', 'alliances', 'area-movement', 'auction-bidding', 'auction-sealed-bid', 'card-play-conflict-resolution', 'events', 'hand-management', 'income', 'negotiation', 'order-counters', 'player-elimination', 'simultaneous-action-selection', 'sudden-death-ending', 'turn-order-auction', 'variable-player-powers']",224,Medium
Go,-2200,Use stones to control space in this ancient game with simple rules.,2,2,30,180,8,3.9,7.65,['abstract-strategy'],"['enclosure', 'square-grid']",225,Medium
